"Table S7A. Combined KEGG, C2, and GO systems map  for Drosophila and Mammalian orthologues of Drosophila candidate pain genes and binding partners",,,,,,,,,,,,
KEGG/C2,Gene sets,Gene set categories,Human Gene Symbol,Mouse Gene Symbol,Human Entrez ID,Mouse Entrez ID,Human Entrez to CGID,Mouse Entrez to CGID,Drosophila CGID,Unique List of CGID,Unique List of CGID per Category,No. of genes per categeory
C2,UCALPAINPATHWAY,Cell Adhesion,"ACTA1,CAPNS1,RAC1,SPTAN1,SRC","Acta1,Capn1,Capns1,Capns2,Rac1,Src","58,826,5879,6709,6714","11459,12333,12336,69543,19353,20779","CG4027,CG8107,CG2248,CG1977,CG7524,CG7873","CG4027,CG8107,CG8107,CG8107,CG2248,CG7524,CG7873",,"CG4027,CG8107,CG2248,CG1977,CG7524,CG7873","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
C2,CELL_ADHESION,Cell Adhesion,"CD36,SCARB2,RAC1,CASK,CELSR1,FEZ1,CD226","Cd226,Cdh2,Cdh4,Cdh5","948,950,5879,8573,9620,9638,10666","225825,12558,12561,12562","CG7422,CG7422,CG2248,CG6703,CG11895,CG3981,CG13162","CG13162,CG7100,CG7100,CG7100",,"CG7422,CG2248,CG6703,CG11895,CG3981,CG13162,CG7100","CG4006,CG5072,CG8914,CG2174,CG5884,CG7109,CG17291,CG4027,CG1977,CG7524,CG7873,CG6703,CG5014,CG1956,CG8107,CG9096,CG11326,CG2060,CG2248,CG15319,CG7223,CG3758,CG7422,CG13162,CG7100,CG3981,CG17894,CG11992,CG3891,CG8933,CG9415,CG8912,CG1847,CG14514,CG11895",35
C2,COCAINE_BRAIN_5D_UP,Cocaine response,"ADORA1,ATP1B2,CAMK2A,CTGF,GAD1,PDE4B,SPOCK2,ACTR2,WBP11","Actr2,Adora1,Ap2a1,Atp1b2,Camk2a,Ctgf,Dlg4,Gad1,Pde4b,Spock2,Wbp11","134,482,815,1490,2571,5142,9806,10097,51729","66713,11539,11771,11932,12322,14219,13385,14415,18578,94214,60321","CG9753,CG8663,CG18069,CG32183,CG7811,CG14940,CG13830,CG9901,CG2685","CG9901,CG9753,CG31654,CG8663,CG18069,CG32183,CG1725,CG7811,CG14940,CG13830,CG2685",,"CG9753,CG8663,CG18069,CG32183,CG7811,CG14940,CG13830,CG9901,CG2685,CG31654,CG1725","CG9753,CG8663,CG18069,CG32183,CG7811,CG14940,CG13830,CG9901,CG2685,CG31654,CG1725",11
C2,H2O2_CSBRESCUED_C1_UP,Cockayne syndrome,"ATP6AP1,CCNA2,CCNH,COX6C,CRYAB,CTSB,DUT,PLXNA1,RELA,RPL5,ATP6V1C2","Atp6ap1,Atp6v1c2,Ccna2,Ccnh,Cox6c,Cryab,Ctsb,Dut,Plxna1,Rela,Rpl5","537,890,902,1345,1410,1508,1854,5361,5970,6125,245973","54411,68775,12428,66671,12864,12955,13030,110074,18844,19697,19983","CG8029,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048","CG8029,CG8048,CG5940,CG3510,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489",,"CG8029,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048","CG8029,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048,CG5330,CG9949,CG4887,CG9096",16
C2,H2O2_CSBDIFF_C2,Cockayne syndrome,"CRYAB,NAP1L1,PLXNA1,SIAH2,RBM10","Cryab,Nap1l1,Plxna1,Rbm10,Siah2","1410,4673,5361,6478,8241","12955,53605,18844,236732,20439","CG4183,CG5330,CG11081,CG9949,CG4887","CG4183,CG5330,CG11081,CG4887,CG9949",,"CG4183,CG5330,CG11081,CG9949,CG4887","CG8029,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048,CG5330,CG9949,CG4887,CG9096",16
C2,H2O2_CSBRESCUED_UP,Cockayne syndrome,"ATP6AP1,CCND1,CCNA2,CCNH,COX6C,CRYAB,CTSB,DUT,PLXNA1,RELA,RPL5,ATP6V1C2","Atp6ap1,Atp6v1c2,Ccna2,Ccnd1,Ccnh,Cox6c,Cryab,Ctsb,Dut,Plxna1,Rela,Rpl5","537,595,890,902,1345,1410,1508,1854,5361,5970,6125,245973","54411,68775,12428,12443,66671,12864,12955,13030,110074,18844,19697,19983","CG8029,CG9096,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048","CG8029,CG8048,CG5940,CG3510,CG9096,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489",,"CG8029,CG9096,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048","CG8029,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048,CG5330,CG9949,CG4887,CG9096",16
C2,H2O2_CSBCOMBINED,Cockayne syndrome,"CCND1,CRYAB,PLXNA1","Ccnd1,Cryab,Plxna1","595,1410,5361","12443,12955,18844","CG9096,CG4183,CG11081","CG9096,CG4183,CG11081",,"CG9096,CG4183,CG11081","CG8029,CG3510,CG5940,CG7405,CG14028,CG4183,CG10992,CG4584,CG11081,CG6667,CG17489,CG8048,CG5330,CG9949,CG4887,CG9096",16
C2,CREBPATHWAY,CREB Pathway,"AKT1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,RAC1","Akt1,Camk2a,Camk2b,Camk2d,Camk2g,Rac1","207,815,816,817,818,5879","11651,12322,12323,108058,12325,19353","CG4006,CG18069,CG18069,CG18069,CG18069,CG2248","CG4006,CG18069,CG18069,CG18069,CG18069,CG2248",,"CG4006,CG18069,CG2248","CG4006,CG18069,CG2248,CG4027,CG16899,CG8933,CG8881,CG2151",8
C2,CREB_BRAIN_8WKS_DN,CREB Pathway,,"Actb,Foxp1,Pbx3,Pnck,Skp1a,Txnrd1,Zbtb20",,"11461,108655,18516,93843,21402,50493,56490",,"CG4027,CG16899,CG8933,CG18069,CG8881,CG2151",,"CG4027,CG16899,CG8933,CG18069,CG8881,CG2151","CG4006,CG18069,CG2248,CG4027,CG16899,CG8933,CG8881,CG2151",8
C2,SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,Cytoskeleton,"ACTG1,ACTG2,AKT1,MYH2,ACTR2","Actg1,Actg2,Actr2,Akt1,Myh2","71,72,207,4620,10097","11465,11468,66713,11651,17882","CG4027,CG4027,CG4006,CG2174,CG9901","CG4027,CG4027,CG9901,CG4006,CG2174",,"CG4027,CG4006,CG2174,CG9901","CG4027,CG4006,CG2174,CG9901,CG2248,CG4560,CG10954",7
C2,ACTINYPATHWAY,Cytoskeleton,"ACTA1,RAC1,ARPC3,ACTR2,ARPC2","Acta1,Actr2,Arpc2,Arpc3,Rac1","58,5879,10094,10097,10109","11459,66713,76709,56378,19353","CG4027,CG2248,CG4560,CG9901,CG10954","CG4027,CG9901,CG10954,CG4560,CG2248",,"CG4027,CG2248,CG4560,CG9901,CG10954","CG4027,CG4006,CG2174,CG9901,CG2248,CG4560,CG10954",7
C2,FATTY_ACID_BIOSYNTHESIS_PATH_2,Fatty Acid Metabolism,"ACAT1,ACAT2,HADHB,ACAA2","Acaa2,Acat1,Acat2,Hadhb","38,39,3032,10449","52538,110446,110460,231086","CG10932,CG10932,CG4581,CG10932","CG10932,CG10932,CG10932,CG4581",,"CG10932,CG4581","CG10932,CG4581,CG8732,CG7367,CG2174,CG7113,CG2060",7
C2,FATTY_ACID_DEGRADATION,Fatty Acid Metabolism,"ACSL3,ACSL4,HADHB,LPL,MYO5B,ACAA2","Acaa2,Acsl3,Acsl4,Hadhb,Lpl,Myo5b","2181,2182,3032,4023,4645,10449","52538,74205,50790,231086,16956,17919","CG8732,CG8732,CG4581,CG7367,CG2174,CG10932","CG10932,CG8732,CG8732,CG4581,CG7367,CG2174",,"CG8732,CG4581,CG7367,CG2174,CG10932","CG10932,CG4581,CG8732,CG7367,CG2174,CG7113,CG2060",7
C2,HSA00062_FATTY_ACID_ELONGATION_IN_MITOCHONDRIA,Fatty Acid Metabolism,"HSD17B10,HADHB,ACAA2","Acaa2,Hadhb,Hsd17b10","3028,3032,10449","52538,231086,15108","CG7113,CG4581,CG10932","CG10932,CG4581,CG7113",,"CG7113,CG4581,CG10932","CG10932,CG4581,CG8732,CG7367,CG2174,CG7113,CG2060",7
KEGG,Fatty acid metabolism ,Fatty Acid Metabolism,,,"10449,1579,2181,2182,284541,3028,3032,38,39","110446,110460,13117,13118,13119,15108,231086,50790,52538,74205","CG10932,CG2060,CG8732,CG8732,CG2060,CG7113,CG4581,CG10932,CG10932","CG10932,CG10932,CG2060,CG2060,CG2060,CG7113,CG4581,CG8732,CG10932,CG8732","CG7113,CG10932,CG4581,CG8732","CG10932,CG2060,CG8732,CG7113,CG4581","CG10932,CG4581,CG8732,CG7367,CG2174,CG7113,CG2060",7
KEGG,Fatty acid elongation in mitochondria ,Fatty Acid Metabolism,,,"10449,3028,3032","15108,231086,52538","CG10932,CG7113,CG4581","CG7113,CG4581,CG10932","CG7113,CG4581","CG10932,CG7113,CG4581","CG10932,CG4581,CG8732,CG7367,CG2174,CG7113,CG2060",7
C2,NUCLEOTIDE_GPCRS,GPCR,"ADORA1,ADORA2A,ADORA2B","Adora1,Adora2a,Adora2b,Adora3","134,135,136","11539,11540,11541,11542","CG9753,CG9753,CG9753","CG9753,CG9753,CG9753,CG9753",,CG9753,"CG9753,CG6881,CG12796,CG2872,CG7285,CG8432,CG8472,CG14940,CG5411,CG12082",10
C2,GPCRS_CLASS_A_RHODOPSIN_LIKE,GPCR,,"Adora1,Adora2a,Adora2b,Adora3,Cckar,Cckbr,Cnr1,Cnr2,Galr1,Galr2,Galr3,Oprd1,Oprk1,Oprl1,Oprm1",,"11539,11540,11541,11542,12425,12426,12801,12802,14427,14428,14429,18386,18387,18389,18390",,"CG9753,CG9753,CG9753,CG9753,CG6881,CG6881,CG12796,CG12796,CG2872,CG2872,CG2872,CG7285,CG7285,CG7285,CG7285",,"CG9753,CG6881,CG12796,CG2872,CG7285","CG9753,CG6881,CG12796,CG2872,CG7285,CG8432,CG8472,CG14940,CG5411,CG12082",10
C2,GPCRDB_CLASS_A_RHODOPSIN_LIKE,GPCR,,"Adora1,Adora2a,Adora2b,Adora3,Cckar,Cckbr,Chml,Cnr1,Cnr2,Galr1,Galr2,Galr3,Gpr3,Gpr6,Oprd1,Oprk1,Oprl1,Oprm1,Sstr1,Sstr2,Sstr3,Sstr4",,"11539,11540,11541,11542,12425,12426,12663,12801,12802,14427,14428,14429,14748,140741,18386,18387,18389,18390,20605,20606,20607,20608",,"CG9753,CG9753,CG9753,CG9753,CG6881,CG6881,CG8432,CG12796,CG12796,CG2872,CG2872,CG2872,CG12796,CG12796,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285",,"CG9753,CG6881,CG8432,CG12796,CG2872,CG7285","CG9753,CG6881,CG12796,CG2872,CG7285,CG8432,CG8472,CG14940,CG5411,CG12082",10
C2,PEPTIDE_GPCRS,GPCR,"CCKAR,CCKBR,GALR1,OPRD1,OPRK1,OPRL1,OPRM1,SSTR1,SSTR2,SSTR3,SSTR4,GALR3,GALR2","Cckar,Cckbr,Galr1,Galr2,Galr3,Oprd1,Oprk1,Oprl1,Oprm1,Sstr1,Sstr2,Sstr3,Sstr4","886,887,2587,4985,4986,4987,4988,6751,6752,6753,6754,8484,8811","12425,12426,14427,14428,14429,18386,18387,18389,18390,20605,20606,20607,20608","CG6881,CG6881,CG2872,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG2872,CG2872","CG6881,CG6881,CG2872,CG2872,CG2872,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285,CG7285",,"CG6881,CG2872,CG7285","CG9753,CG6881,CG12796,CG2872,CG7285,CG8432,CG8472,CG14940,CG5411,CG12082",10
C2,G_PROTEIN_SIGNALING,GPCR,"CALM1,CALM2,CALM3,PDE1A,PDE1C,PDE4A,PDE4B,PDE4C,PDE8A,PDE1B,USP5,PDE8B","Calm2,Calm1,Calm2,Calm3,Pde1a,Pde1b,Pde1c,Pde4a,Pde4b,Pde4c,Pde4d,Pde8a,Pde8b,Usp5","801,805,808,5136,5137,5141,5142,5143,5151,5153,8078,8622","12314,12313,12314,12315,18573,18574,18575,18577,18578,110385,238871,18584,218461,22225","CG8472,CG8472,CG8472,CG14940,CG14940,CG14940,CG14940,CG14940,CG5411,CG14940,CG12082,CG5411","CG8472,CG8472,CG8472,CG8472,CG14940,CG14940,CG14940,CG14940,CG14940,CG14940,CG14940,CG5411,CG5411,CG12082",,"CG8472,CG14940,CG5411,CG12082","CG9753,CG6881,CG12796,CG2872,CG7285,CG8432,CG8472,CG14940,CG5411,CG12082",10
KEGG,Huntington's disease ,Huntington's disease ,,,"1211,1212,1213,1387,2033,801,805,808,810","12313,12314,12315,12757,12914,328572,67300,70405,74325","CG6948,CG6948,CG9012,CG15319,CG15319,CG8472,CG8472,CG8472,CG8472","CG8472,CG8472,CG8472,CG6948,CG15319,CG15319,CG9012,CG8472,CG6948",,"CG6948,CG9012,CG15319,CG8472","CG6948,CG9012,CG15319,CG8472",4
C2,INTEGRINPATHWAY,Integrin Pathway,,"Acta1,Capn1,Capns1,Capns2,Fyn,Rap1a,Src",,"11459,12333,12336,69543,14360,109905,20779",,"CG4027,CG8107,CG8107,CG8107,CG7873,CG7524,CG1956,CG7873,CG7524",,"CG4027,CG8107,CG7873,CG7524,CG1956","CG4027,CG8107,CG7873,CG7524,CG1956",5
GO,sodium channel activity,Ion Channels,accn1 scnn1a scnn1b accn2 scnn1d scnn1g ,accn1 scnn1a accn3 accn5 accn2 scnn1g ,"40,6337,6338,41,6339,6340","11418,20276,171209,58170,11419,20278","CG1058,CG4110,CG32792,CG1058,CG4110,CG4110","CG32792,CG1058,CG32792,CG1058,CG32792,CG1058,CG32792,CG1058,CG32792,CG1058,CG4110",,"CG1058,CG4110,CG32792","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,cation channel activity,Ion Channels,kcnip2 accn1 trpv1 kcnip4 scnn1a kcnip3 kcnip1 trpv6 trpv3 trpv5 trpv4 kcnq2 kcnq5 scnn1b accn2 scnn1g kcnq3 trpv2 kcnq4 trpa1 scnn1d ,kcnip2 accn1 cacna2d3 trpv1 accn5 kcnip4 scnn1a kcnip3 kcnip1 trpv6 trpv3 trpv5 trpv4 accn3 kcnq2 kcnq5 scnn1g accn2 kcnq3 cacna2d4 kcnq4 trpv2 trpa1 ,"30819,40,7442,80333,6337,30818,30820,55503,162514,56302,59341,3785,56479,6338,41,6340,3786,51393,9132,8989,6339","80906,11418,12294,193034,58170,80334,20276,56461,70357,64177,246788,194352,63873,171209,16536,226922,20278,11419,110862,319734,60613,22368,277328","CG5890,CG1058,CG5842,CG5890,CG4110,CG5890,CG5890,CG5842,CG5842,CG5842,CG5842,CG12915,CG12915,CG32792,CG1058,CG4110,CG12915,CG5842,CG12915,CG5751,CG4110","CG5890,CG32792,CG1058,CG4587,CG5842,CG32792,CG1058,CG5890,CG32792,CG1058,CG5890,CG5890,CG5842,CG5842,CG5842,CG5842,CG32792,CG1058,CG12915,CG12915,CG4110,CG32792,CG1058,CG12915,CG4587,CG12915,CG5842,CG5751",,"CG5890,CG1058,CG5842,CG4110,CG12915,CG32792,CG5751,CG4587","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,sodium ion transport,Ion Channels,accn1 slc17a4 slc17a2 slc5a7 scnn1b accn2 scnn1g slc17a3 scnn1a slc17a1 scnn1d ,,"40,10050,10246,60482,6338,41,6340,10786,6337,6568,6339",,"CG1058,CG9825,CG9825,CG7708,CG32792,CG1058,CG4110,CG9825,CG4110,CG9825,CG4110",,,"CG1058,CG9825,CG7708,CG32792,CG4110","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,inorganic cation transmembrane transporter activity,Ion Channels,atp1b4 atp6ap1 atp6v0a1 atp4b atp6v0a4 atp5a1 atp5l 1110020p15rik atp5e atp6v1c2 atp6v0a2 atp6v1c1 atp6v0b cox6c tcirg1 accn2 uqcrq ,,,"67821,54411,11975,11945,140494,11946,27425,66152,67126,68775,21871,66335,114143,12864,27060,11419,22272",,"CG8663,CG8029,CG1709,CG8663,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG1709,CG8048,CG7007,CG14028,CG1709,CG32792,CG1058,CG7580",,"CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG32792,CG1058,CG7580","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,proton-transporting two-sector ATPase complex,Ion Channels,atp6v1c1 atp5a1 atp5l atp6ap1 atp6v0a4 atp5e atp6v0b atp6v1c2 ,,,"66335,11946,27425,54411,140494,67126,114143,68775",,"CG8048,CG3612,CG7211,CG8029,CG1709,CG9032,CG7007,CG8048",,"CG8048,CG3612,CG7211,CG8029,CG1709,CG9032,CG7007","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,hydrogen ion transmembrane transporter activity,Ion Channels,atp6ap1 atp6v0a1 cox7a2l nup153 cox7a1 atp5a1 atp5l atp6v0a4 atp5e atp6v1c2 atp6v0a2 atp6v1c1 atp6v0b cox7a2 cox6c tcirg1 uqcrq ,atp1b4 atp6ap1 atp6v0a1 atp4b atp6v0a4 atp5a1 atp5l 1110020p15rik atp5e atp6v1c2 atp6v0a2 atp6v1c1 atp6v0b cox6c tcirg1 uqcrq ,"537,535,9167,9972,1346,498,10632,50617,514,245973,23545,528,533,1347,1345,10312,27089","67821,54411,11975,11945,140494,11946,27425,66152,67126,68775,21871,66335,114143,12864,27060,22272","CG8029,CG1709,CG9603,CG4453,CG9603,CG3612,CG7211,CG1709,CG9032,CG8048,CG1709,CG8048,CG7007,CG9603,CG14028,CG1709,CG7580","CG8663,CG8029,CG1709,CG8663,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG1709,CG8048,CG7007,CG14028,CG1709,CG7580",,"CG8029,CG1709,CG9603,CG4453,CG3612,CG7211,CG9032,CG8048,CG7007,CG14028,CG7580,CG8663,CG8764","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,proton-transporting two-sector ATPase complex,Ion Channels,atp6v1c1 atp6ap1 atp6v0b nup153 atp6v0a4 atp5l atp5a1 atp5e atp6v1c2 ,atp6v1c1 atp5a1 atp5l atp6ap1 atp6v0a4 atp5e atp6v0b atp6v1c2 ,"528,537,533,9972,50617,10632,498,514,245973","66335,11946,27425,54411,140494,67126,114143,68775","CG8048,CG8029,CG7007,CG4453,CG1709,CG7211,CG3612,CG9032,CG8048","CG8048,CG3612,CG7211,CG8029,CG1709,CG9032,CG7007,CG8048",,"CG8048,CG8029,CG7007,CG4453,CG1709,CG7211,CG3612,CG9032","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,voltage-gated anion channel activity,Ion Channels,vdac1 vdac3 loc729317 vdac2 ,,"7416,7419,729317,7417",,"CG17137,CG17137,CG17137,CG17137",,,CG17137,"CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,symporter activity,Ion Channels,slc2a3 slc32a1 slc17a4 slc17a2 slc2a4 slc5a7 slc2a14 slc2a5 slc2a1 slc2a2 slc17a3 slc17a1 slc25a3 slc46a2 ,,"6515,140679,10050,10246,6517,60482,144195,6518,6513,6514,10786,6568,5250,57864",,"CG1086,CG8394,CG9825,CG9825,CG1086,CG7708,CG1086,CG1086,CG1086,CG1086,CG9825,CG9825,CG4994,CG8008",,,"CG1086,CG8394,CG9825,CG7708,CG4994,CG8008","CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
GO,sodium:potassium-exchanging ATPase activity,Ion Channels,atp1b4 atp1b1 atp1b3 atp1b2 atp4b ,,,"67821,11931,11933,11932,11945",,"CG8663,CG8663,CG8663,CG8663,CG8663",,CG8663,"CG1058,CG4110,CG32792,CG5890,CG5842,CG12915,CG5751,CG4587,CG9825,CG7708,CG8663,CG8029,CG1709,CG3612,CG7211,CG8764,CG9032,CG8048,CG7007,CG14028,CG7580,CG9603,CG4453,CG17137,CG1086,CG8394,CG4994,CG8008",28
C2,SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES,Ketone Metabolism,"ACAT1,ACAT2","Acat1,Acat2","38,39","110446,110460","CG10932,CG10932","CG10932,CG10932",,CG10932,CG10932,1
KEGG,Long-term potentiation ,Long-term potentiation ,,,"1387,2033,5534,5906,5908,801,805,808,810,814,815,816,817,818","108058,109905,12313,12314,12315,12322,12323,12325,12326,12914,19058,215449,328572,70405","CG15319,CG15319,CG14353,CG1956,CG1956,CG8472,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG18069","CG18069,CG1956,CG8472,CG8472,CG8472,CG18069,CG18069,CG18069,CG18069,CG15319,CG14353,CG1956,CG15319,CG8472",,"CG15319,CG14353,CG1956,CG8472,CG18069","CG15319,CG14353,CG1956,CG8472,CG18069",5
C2,STRESS_ARSENIC_SPECIFIC_UP,Mitochondria Stress,"ATP6V1C1,ATP6V0A1,CDK6,CHD2,GLA,IGF2R,IGFBP6,LYZ,ME1,NFE2L1,NFE2L2,SIAH2,TLE4,UBE2H,RBM5,TUBGCP3,SCRN3","Atp6v0a1,Atp6v1c1,Cdk6,Gla,Igf2r,Igfbp6,Me1,Nfe2l1,Nfe2l2,Rbm5,Relb,Scrn3,Siah2,Tle4,Tubgcp3,Ube2h","528,535,1021,1106,2717,3482,3489,4069,4199,4779,4780,6478,7091,7328,10181,10426,79634","11975,66335,12571,11605,16004,16012,17436,18023,18024,83486,19698,74616,20439,21888,259279,22214","CG8048,CG1709,CG5072,CG3733,CG5731,CG14255,CG13830,CG1180,CG5889,CG17894,CG17894,CG9949,CG8384,CG2257,CG4887,CG10988,CG10098","CG1709,CG8048,CG5072,CG5731,CG14255,CG13830,CG5889,CG17894,CG17894,CG4887,CG6667,CG10098,CG9949,CG8384,CG10988,CG2257",,"CG8048,CG1709,CG5072,CG3733,CG5731,CG14255,CG13830,CG1180,CG5889,CG17894,CG9949,CG8384,CG2257,CG4887,CG10988,CG10098,CG6667","CG8048,CG1709,CG5072,CG3733,CG5731,CG14255,CG13830,CG1180,CG5889,CG17894,CG9949,CG8384,CG2257,CG4887,CG10988,CG10098,CG6667",17
C2,HIPPOCAMPUS_DEVELOPMENT_PRENATAL,Nervous System Development,"CCND2,CCNG2,CDK4,EEF1A1,RPS8,CCNB2,H2AFV","Ccnb2,Ccnd2,Ccng2,Cdk4,Eef1a1,Eef1g,H2afv,Rps8","894,901,1019,1915,6202,9133,94239","12442,12444,12452,12567,13627,67160,77605,20116","CG9096,CG11525,CG5072,CG8280,CG7808,CG5940,CG3510,CG5499","CG5940,CG3510,CG9096,CG11525,CG5072,CG8280,CG11901,CG5499,CG7808",,"CG9096,CG11525,CG5072,CG8280,CG7808,CG5940,CG3510,CG5499,CG11901","CG9096,CG11525,CG5072,CG8280,CG7808,CG5940,CG3510,CG5499,CG11901,CG8472,CG7100,CG1725,CG9415,CG8604,CG8048,CG6948,CG17137,CG1847,CG3083,CG3612,CG9650,CG18069,CG1071,CG4396,CG4262,CG7811,CG17203,CG7809,CG14940",29
C2,CORTEX_ENRICHMENT_LATE_UP,Nervous System Development,,"Calm3,Cdh2,Dlg4,Xbp1",,"12315,12558,13385,22433",,"CG8472,CG7100,CG1725,CG9415",,"CG8472,CG7100,CG1725,CG9415","CG9096,CG11525,CG5072,CG8280,CG7808,CG5940,CG3510,CG5499,CG11901,CG8472,CG7100,CG1725,CG9415,CG8604,CG8048,CG6948,CG17137,CG1847,CG3083,CG3612,CG9650,CG18069,CG1071,CG4396,CG4262,CG7811,CG17203,CG7809,CG14940",29
C2,HIPPOCAMPUS_DEVELOPMENT_POSTNATAL,Nervous System Development,"BIN1,ATP6V1C1,CLTB,EEF1A2,VDAC1,AIP,PRDX6","Aip,Atp6v1c1,Bin1,Cltb,Eef1a2,Prdx6,Vdac1","274,528,1212,1917,7416,9049,9588","11632,66335,30948,74325,13628,11758,22333","CG8604,CG8048,CG6948,CG8280,CG17137,CG1847,CG3083","CG1847,CG8048,CG8604,CG6948,CG8280,CG3083,CG17137",,"CG8604,CG8048,CG6948,CG8280,CG17137,CG1847,CG3083","CG9096,CG11525,CG5072,CG8280,CG7808,CG5940,CG3510,CG5499,CG11901,CG8472,CG7100,CG1725,CG9415,CG8604,CG8048,CG6948,CG17137,CG1847,CG3083,CG3612,CG9650,CG18069,CG1071,CG4396,CG4262,CG7811,CG17203,CG7809,CG14940",29
