Appr Gene (m),MGI ID,Appr Gene (h),HGNC ID,Ensembl (m),Ensembl (h),human ibaq protein group id,mouse ibaq protein group id,"iBAQ mPSD01 (Log2, normalised)","iBAQ mPSD02 (Log2, normalised)","iBAQ mPSD03 (Log2, normalised)","iBAQ hPSD01 (Log2, normalised)","iBAQ hPSD02 (Log2, normalised)","iBAQ hPSD03 (Log2, normalised)","iBAQ hPSD average (Log2, normalised)","iBAQ mPSD average (Log2, normalised)",Average fold change (mPSD from hDB/hPSD from mDB),t-test Significant (Perm 0.01),t-test p value
Baiap2,MGI:2137336,BAIAP2,HGNC:947,ENSMUSG00000025372,ENSG00000175866,1275,530,5.270328,5.906509,5.59944,3.089248,4.113229,4.721081,3.9745193333333333,5.592092333333333,3.068583837023426,,0.0338729487276707
Bcas1,MGI:1924210,BCAS1,HGNC:974,ENSMUSG00000013523,ENSG00000064787,811,2421,-5.495041,-7.428464,-6.8699,-0.5697999,0.3852068,-3.689347,-1.2913133666666667,-6.597801666666666,0.025268988051845857,,0.0174216824150142
Bckdk,MGI:1276121,BCKDK,HGNC:16902,ENSMUSG00000030802,ENSG00000103507,1073,212,-2.538105,-2.300259,-2.19793,-1.80196,-2.188691,-1.75822,-1.9162903333333332,-2.3454313333333334,0.7427038695470505,,0.0649433868686258
Bcr,MGI:88141,BCR,HGNC:1014,ENSMUSG00000009681,ENSG00000186716,161,1728,-0.8282179,-2.126525,-1.235388,-3.430855,-1.98648,-1.856334,-2.4245563333333333,-1.3967102999999998,2.038977751496228,,0.180114026237122
Begain,MGI:3044626,BEGAIN,HGNC:24163,ENSMUSG00000040867,ENSG00000183092,386,1732,0.7084335,1.320498,0.9433533,-2.242869,-1.661812,-3.270857,-2.3918459999999997,0.9907616,10.429568747898639,+,0.00254795697160363
Bin1,MGI:108092,BIN1,HGNC:1052,ENSMUSG00000024381,ENSG00000136717,1308,185,0.2032998,0.8998937,0.7251875,0.465245,1.234148,0.0482582,0.5825504,0.6094603333333333,1.018827589779022,,0.950272310592912
Brsk1,MGI:2685946,BRSK1,HGNC:18994,ENSMUSG00000035390,ENSG00000160469,1145,2087,0.06416383,0.0893155,0.6282567,-1.214929,-0.7454501,-1.133324,-1.0312343666666666,0.2605786766666667,2.4483554855601777,+,0.005268360707312
Brsk2,MGI:1923020,BRSK2,HGNC:11405,ENSMUSG00000053046,ENSG00000174672,908,2012,-2.512626,-2.283895,-2.662416,-5.02213,-3.646255,-3.950999,-4.206461333333333,-2.4863123333333337,3.294704325036392,,0.0163115659521925
Bsn,MGI:1277955,BSN,HGNC:1117,ENSMUSG00000032589,ENSG00000164061,639,826,0.7894164,1.500254,0.8096573,-1.105625,-0.2075994,-1.062785,-0.7920031333333334,1.0331092333333334,3.543346044973554,,0.00818629969546878
Btbd17,MGI:1919264,BTBD17,HGNC:33758,ENSMUSG00000000202,ENSG00000204347,1824,343,1.771101,2.213814,2.395177,-0.7314947,-1.065578,0.3883132,-0.46958649999999996,2.126697333333333,6.047269325573987,+,0.00553763901466134
C85492,MGI:2143424,C3orf39,HGNC:25902,ENSMUSG00000066235,ENSG00000144647,1231,1588,-4.046723,-3.606389,-3.649195,-2.81423,-2.907107,-2.683507,-2.801614666666667,-3.767435666666667,0.5119869702097247,+,0.00333600649841426
Cacna1a,MGI:109482,CACNA1A,HGNC:1388,ENSMUSG00000034656,ENSG00000141837,425,1833,-0.9264407,-1.310946,-0.2925929,-2.027439,-2.023815,-4.063402,-2.7048853333333334,-0.8433265333333333,3.6340009582589463,,0.065974606167493
Cacna2d1,MGI:88295,CACNA2D1,HGNC:1399,ENSMUSG00000073202,ENSG00000153956,2082,1474,2.674235,1.887151,2.341733,0.9811557,1.244409,1.021985,1.0825165666666667,2.3010396666666666,2.327083696462848,,0.00734341901089385
Cacna2d2,MGI:1929813,CACNA2D2,HGNC:1400,ENSMUSG00000010066,ENSG00000007402,1943,106,-1.856591,-2.932087,-1.742918,-3.109695,-4.001345,-3.747894,-3.6196446666666664,-2.177198666666667,2.717812633738183,,0.0355677265294908
Cacna2d3,MGI:1338890,CACNA2D3,HGNC:15460,ENSMUSG00000021991,ENSG00000157445,1687,689,1.364969,0.648437,0.5697309,-3.585153,-4.646418,-6.482386,-4.904652333333333,0.8610456333333335,54.406154929880756,+,0.00284481014256805
Cacnb1,MGI:102522,CACNB1,HGNC:1401,ENSMUSG00000020882,ENSG00000067191,1297,1501,-0.9270766,-0.428416,-1.168527,-3.368952,-2.072961,-3.478016,-2.9733096666666667,-0.8413398666666666,4.383155312043678,,0.0131129119627392
Cacnb3,MGI:103307,CACNB3,HGNC:1403,ENSMUSG00000003352,ENSG00000167535,188,2303,0.6161847,0.8966345,0.7574376,-2.328508,-2.513564,-0.5809384,-1.8076701333333334,0.7567522666666667,5.915181350140466,,0.0144987972596038
Cacnb4,MGI:103301,CACNB4,HGNC:1404,ENSMUSG00000017412,ENSG00000182389,397,2148,0.9956837,1.386633,1.222118,-2.522006,-1.562215,-0.9045716,-1.6629308666666667,1.2014782333333334,7.282375337657507,+,0.00405498704097696
Cacng2,MGI:1316660,CACNG2,HGNC:1406,ENSMUSG00000055844,ENSG00000166862,82,783,-0.4564516,-0.2673288,0.3853237,-0.9502126,-2.174236,-1.317084,-1.4805108666666669,-0.1128189,2.5805739374493353,,0.0367524731157289
Cadps,MGI:1350922,CADPS,HGNC:1426,ENSMUSG00000054423,ENSG00000163618,1634,1547,-2.285094,-1.763557,-2.330639,-0.8429772,-0.6406829,-0.08436475,-0.52267495,-2.1264299999999996,0.3290194895504073,+,0.00527233568547447
Calm1,MGI:88251,CALM1,HGNC:1442,ENSMUSG00000001175,ENSG00000160014,1097,2283,-2.693874,-3.911212,-1.358625,-0.6567826,0.005612729,-0.3909625,-0.34737745700000006,-2.6545703333333335,0.20205320256217274,,0.0388396608588184
Calm2,MGI:103250,CALM2,HGNC:1445,ENSMUSG00000036438,ENSG00000143933,1097,2283,-2.693874,-3.911212,-1.358625,-0.6567826,0.005612729,-0.3909625,-0.34737745700000006,-2.6545703333333335,0.20205320256217274,,0.0388396608588184
Calm3,MGI:103249,CALM3,HGNC:1449,ENSMUSG00000019370,ENSG00000160014,1097,2283,-2.693874,-3.911212,-1.358625,-0.6567826,0.005612729,-0.3909625,-0.34737745700000006,-2.6545703333333335,0.20205320256217274,,0.0388396608588184
Camk2a,MGI:88256,CAMK2A,HGNC:1460,ENSMUSG00000024617,ENSG00000070808,2376,2122,7.839593,8.680104,8.26824,8.025127,8.427262,8.352613,8.268334000000001,8.262645666666666,0.9960649106237742,,0.984331774149905
Camk2b,MGI:88257,CAMK2B,HGNC:1461,ENSMUSG00000057897,ENSG00000058404,1805,2075,5.703164,6.305478,6.153601,3.040091,4.207406,5.651348,4.299614999999999,6.054081,3.374014093782489,,0.0867513743109806
Camk2d,MGI:1341265,CAMK2D,HGNC:1462,ENSMUSG00000053819,ENSG00000145349,2217,1819,1.697448,2.21235,1.816526,0.8922115,2.312263,3.073169,2.092547833333333,1.9087746666666667,0.8803974265877446,,0.793799830491549
Camk2g,MGI:88259,CAMK2G,HGNC:1463,ENSMUSG00000021820,ENSG00000148660,2403,526,2.747387,3.747859,3.277023,-2.435822,-2.479389,-0.8224343,-1.9125484333333331,3.2574229999999997,36.0011586474815,+,0.00111001293310464
Camkv,MGI:2384296,CAMKV,HGNC:28788,ENSMUSG00000032936,ENSG00000164076,1708,451,-2.246732,-1.153695,-1.256709,-2.483415,-2.802403,-5.39102,-3.558946,-1.5523786666666668,4.018250021041866,,0.11114668452872
Cand1,MGI:1261820,CAND1,HGNC:30688,ENSMUSG00000020114,ENSG00000111530,1106,2398,-1.51281,-0.8292097,-1.020172,0.4539803,0.1302097,0.1131708,0.2324536,-1.1207305666666667,0.39142717745682676,+,0.00429665152566794
Cap2,MGI:1914502,CAP2,HGNC:20039,ENSMUSG00000021373,ENSG00000112186,872,127,-2.424348,-1.545521,-2.340717,0.8827406,-0.06979461,2.122601,0.9785156633333333,-2.103528666666667,0.11808975149977599,,0.0113105011766863
Capn5,MGI:1100859,CAPN5,HGNC:1482,ENSMUSG00000035547,ENSG00000149260,2193,208,-1.665315,-1.440973,-1.937468,-1.989295,-1.293479,-1.752663,-1.678479,-1.681252,0.9980797489140498,,0.99167021989577
Capza2,MGI:106222,CAPZA2,HGNC:1490,ENSMUSG00000015733,ENSG00000198898,837,114,4.949274,4.76024,4.63936,4.036007,3.816186,4.580084,4.144092333333333,4.782958,1.5571043890682763,,0.0591025013014807
Capzb,MGI:104652,CAPZB,HGNC:1491,ENSMUSG00000028745,ENSG00000077549,2187,1300,2.751883,3.286478,2.244332,2.979571,3.145836,2.958858,3.0280883333333333,2.7608976666666667,0.8309360377780209,,0.4327378344185
Cask,MGI:1309489,CASK,HGNC:1497,ENSMUSG00000031012,ENSG00000147044,2120,354,0.6967338,0.6335425,1.485797,0.07615487,0.7142937,0.8654956,0.55198139,0.9386911000000001,1.3074082536228535,,0.349835220397758
Caskin1,MGI:2442952,CASKIN1,HGNC:20879,ENSMUSG00000033597,ENSG00000167971,1873,1844,1.885723,1.258821,1.538466,0.01733329,0.4308484,0.9570221,0.4684012633333334,1.561003333333333,2.132583262765143,,0.0287532872770138
Ccdc127,MGI:1914683,CCDC127,HGNC:30520,ENSMUSG00000021578,ENSG00000164366,1063,749,-0.5271251,-2.164869,-2.682477,-0.6739937,-1.267141,-4.712227,-2.2177872333333335,-1.7914903666666666,1.3437799099472847,,0.77846747843286
Ccny,MGI:1915224,CCNY,HGNC:23354,ENSMUSG00000024286,ENSG00000108100,2077,1347,0.9362819,-0.3746344,0.7528934,-1.363464,-0.869079,-1.702224,-1.311589,0.4381803,3.3630478362145637,,0.0212652896637006
Cct2,MGI:107186,CCT2,HGNC:1615,ENSMUSG00000034024,ENSG00000166226,1638,1480,1.371597,1.675873,1.286602,1.572302,0.9619389,1.793971,1.4427373000000001,1.4446906666666666,1.0013548876296208,,0.99468054842982
Cct3,MGI:104708,CCT3,HGNC:1616,ENSMUSG00000001416,ENSG00000163468,1549,249,0.9790065,1.276408,1.540988,0.9176937,1.167215,1.834525,1.3064779,1.2654675,0.9719739812574409,,0.90366828998155
Cct4,MGI:104689,CCT4,HGNC:1617,ENSMUSG00000007739,ENSG00000115484,1693,246,1.136052,1.59621,2.175841,0.1683825,1.928236,2.246305,1.4476411666666664,1.6360343333333336,1.1394938724784716,,0.804601520946392
Cct5,MGI:107185,CCT5,HGNC:1618,ENSMUSG00000022234,ENSG00000150753,380,247,-0.1932701,0.1152793,0.6595833,0.3583852,-0.6476012,0.4701555,0.060313166666666675,0.19386416666666664,1.096990475687547,,0.773725523477097
Cct6a,MGI:107943,CCT6A,HGNC:1620,ENSMUSG00000029447,ENSG00000146731,885,248,1.423408,1.076665,1.805501,0.9937112,1.569062,2.092047,1.5516067333333332,1.4351913333333333,0.9224768425736241,,0.774996096358611
Cct7,MGI:107184,CCT7,HGNC:1622,ENSMUSG00000030007,ENSG00000135624,598,1587,1.035392,0.9007553,1.409769,0.7677332,0.4862506,1.244757,0.8329135999999999,1.1153054333333332,1.2162095586207258,,0.352561766025634
Cct8,MGI:107183,CCT8,HGNC:1623,ENSMUSG00000025613,ENSG00000156261,1692,2048,2.891941,3.366783,2.527494,1.515455,1.455665,1.877305,1.6161416666666666,2.928739333333333,2.4838837708655435,,0.00897638182329542
Cdc42,MGI:106211,CDC42,HGNC:1736,ENSMUSG00000006699,ENSG00000070831,258,380,0.2917154,0.301038,0.1878719,0.4302001,0.1546395,-1.645413,-0.35352446666666665,0.2602084333333333,1.5302134404731982,,0.399734548258487
Cdc42bpb,MGI:2136459,CDC42BPB,HGNC:1738,ENSMUSG00000021279,ENSG00000198752,2101,197,-0.5610967,-0.3233224,-1.051109,-1.484922,-1.245372,-1.782997,-1.5044303333333333,-0.6451760333333333,1.8141003963153493,,0.0315058768590421
Cdc42ep4,MGI:1929760,CDC42EP4,HGNC:17147,ENSMUSG00000041598,ENSG00000179604,522,540,-1.603296,-3.391958,-4.044807,-1.259154,-0.8390269,-2.25649,-1.4515569666666668,-3.0133536666666667,0.3387289736187526,,0.137277908936179
Cdh10,MGI:107436,CDH10,HGNC:1749,ENSMUSG00000022321,ENSG00000040731,1608,1667,-1.009604,-0.7846079,-0.9329606,-1.328612,-1.419997,-1.851239,-1.5332826666666666,-0.9090575,1.5413827671638802,,0.023080513817979
Cdh13,MGI:99551,CDH13,HGNC:1753,ENSMUSG00000031841,ENSG00000140945,765,2299,2.780213,2.039337,2.210395,1.606845,2.52437,1.235826,1.7890136666666667,2.343315,1.4684573182625935,,0.27962460349923
Cdh2,MGI:88355,CDH2,HGNC:1759,ENSMUSG00000024304,ENSG00000170558,1540,2234,2.441449,2.989771,1.799551,-0.6870715,1.61653,1.199155,0.7095378333333334,2.410257,3.250629582585021,,0.0969817497397914
Cdh4,MGI:99218,CDH4,HGNC:1763,ENSMUSG00000074518,ENSG00000179242,763,736,-2.923388,-2.673719,-4.070426,-3.144947,-2.972378,-2.084687,-2.734004,-3.2225110000000003,0.7127623317191273,,0.41770324560708
Cdk5,MGI:101765,CDK5,HGNC:1774,ENSMUSG00000028969,ENSG00000164885,751,1361,-0.2871799,0.8238103,0.5828179,0.5036718,0.7611598,1.197077,0.8206362,0.37314943333333334,0.7333192077467455,,0.318898907730401
Cdkl5,MGI:1278336,CDKL5,HGNC:11411,ENSMUSG00000031292,ENSG00000008086,2252,1738,-0.5037702,-0.8396914,-0.7718025,-2.633194,-1.896277,-2.357881,-2.295784,-0.7050880333333334,3.0119461293118674,+,0.00261342703410627
Cfl1,MGI:101757,CFL1,HGNC:1874,ENSMUSG00000056201,ENSG00000172757,420,2335,1.841787,1.49367,1.059494,4.254629,4.258326,4.584611,4.365855333333333,1.4649836666666667,0.1338907624731348,+,0.000321823306038693
Chchd3,MGI:1913325,CHCHD3,HGNC:21906,ENSMUSG00000053768,ENSG00000106554,520,2242,1.602227,0.8058329,0.20402,1.547436,1.132316,0.6121327,1.0972949,0.8706933,0.8546457185812855,,0.665921808481082
Chmp1a,MGI:1920159,CHMP1A,HGNC:8740,ENSMUSG00000000743,ENSG00000131165,1846,442,-1.958408,-1.698498,-1.826658,-2.17019,-2.927587,-1.412929,-2.1702353333333333,-1.8278546666666668,1.2678470095140106,,0.483318039158398
Chmp4b,MGI:1922858,CHMP4B,HGNC:16171,ENSMUSG00000038467,ENSG00000101421,831,996,0.4038984,0.2358975,-0.3575982,0.6375748999999999,0.9265686,0.6333432,0.7324955666666666,0.0940659,0.6424118157164616,,0.0634246507297065
Chmp6,MGI:3583942,CHMP6,HGNC:25675,ENSMUSG00000025371,ENSG00000176108,1716,101,-0.7944226,-2.244586,-1.517557,-1.155777,-1.625721,-1.606088,-1.4625286666666666,-1.5188552,0.9617097608169375,,0.905567498466138
Cisd1,MGI:1261855,CISD1,HGNC:30880,ENSMUSG00000037710,ENSG00000122873,648,629,0.2609101,-0.8942695,-0.7158412,2.134805,1.978719,1.132027,1.7485169999999999,-0.4497335333333334,0.21790171655479493,,0.00984742031958818
Cit,MGI:105313,CIT,HGNC:1985,ENSMUSG00000029516,ENSG00000122966,2174,1307,1.815309,2.347851,2.451071,-0.2238497,0.6126218,0.5096362,0.2994694333333333,2.204743666666667,3.745800939127972,+,0.00441269986682697
Ckap4,MGI:2444926,CKAP4,HGNC:16991,ENSMUSG00000046841,ENSG00000136026,1141,1066,-0.2425703,-0.4543509,-0.2869398,-0.3143784,0.1503583,0.3406927,0.05889086666666667,-0.3279536666666667,0.7648005503884552,,0.132147616164789
Ckap5,MGI:1923036,CKAP5,HGNC:28959,ENSMUSG00000040549,ENSG00000175216,905,1443,0.6369336,2.024263,1.06818,2.572162,1.454613,0.4212691,1.4826813666666665,1.2431255333333333,0.8470060424080832,,0.763637323845163
Ckb,MGI:88407,CKB,HGNC:1991,ENSMUSG00000001270,ENSG00000166165,732,889,2.355172,3.095579,3.526242,6.245388,6.176479,6.964923,6.462263333333333,2.992331,0.09024980760393335,+,0.00122368603141676
Clasp1,MGI:1923957,CLASP1,HGNC:17088,ENSMUSG00000064302,ENSG00000074054,1905,2212,-1.756698,-1.633085,-1.479475,-1.661426,-2.751701,-2.313597,-2.2422413333333338,-1.623086,1.5359756375484819,,0.131002005875217
Clasp2,MGI:1923749,CLASP2,HGNC:17078,ENSMUSG00000033392,ENSG00000163539,1210,1822,0.8322443,0.7622562,0.8196608,0.7293741,-0.1927728,0.3373233,0.2913082,0.8047204333333333,1.4274223167814686,,0.127964047227975
Clip2,MGI:1313136,CLIP2,HGNC:2586,ENSMUSG00000063146,ENSG00000106665,623,2027,0.6398264,0.6982886,0.4478499,-0.6775005,-1.646201,-0.2165811,-0.8467608666666666,0.5953216333333334,2.7171279426451016,,0.0280648421686461
Clta,MGI:894297,CLTA,HGNC:2090,ENSMUSG00000028478,ENSG00000122705,500,2158,1.789491,1.040293,0.5002229,-0.3814803,1.005541,-0.02554261,0.19950603,1.1100022999999999,1.879691978999683,,0.178815340803894
Cltb,MGI:1921575,CLTB,HGNC:2091,ENSMUSG00000047547,ENSG00000175416,501,1193,1.610213,1.061079,0.9341152,-0.4147752,1.157228,-1.417543,-0.2250300666666667,1.2018024,2.688557760714179,,0.140383224382235
Cltc,MGI:2388633,CLTC,HGNC:2092,ENSMUSG00000047126,ENSG00000141367,767,982,4.540124,3.59152,4.004954,3.970484,5.205805,4.68292,4.619736333333333,4.045532666666666,0.671656887709303,,0.27208033712337
Cnksr2,MGI:2661175,CNKSR2,HGNC:19701,ENSMUSG00000025658,ENSG00000149970,2019,1192,0.5995547,-0.1134195,0.2360716,-0.875056,-1.787691,-1.349405,-1.3373840000000001,0.24073559999999997,2.985804280711793,,0.00917487738413197
Cnp,MGI:88437,CNP,HGNC:2158,ENSMUSG00000006782,ENSG00000173786,1732,1468,3.559895,3.47192,4.185456,6.495397,4.684098,5.914956,5.698150333333333,3.7390903333333334,0.2571959802708492,,0.0277424310242795
Cntn1,MGI:105980,CNTN1,HGNC:2171,ENSMUSG00000055022,ENSG00000018236,950,467,6.070216,5.352677,5.752475,5.19081,4.629335,5.745433,5.188526,5.725122666666667,1.4505466227471666,,0.234091932570605
Cntn2,MGI:104518,CNTN2,HGNC:2172,ENSMUSG00000053024,ENSG00000184144,796,373,1.110779,0.3554815,1.485838,0.5525278,-2.116006,-0.8693793,-0.8109525,0.9840328333333334,3.4701194706438847,,0.0992941492588082
Cntnap1,MGI:1858201,CNTNAP1,HGNC:8011,ENSMUSG00000017167,ENSG00000108797,1421,1642,1.713424,2.008852,1.993755,2.925751,2.456479,3.468952,2.9503939999999997,1.9053436666666668,0.4846280002731399,,0.0274263299476689
Cntnap2,MGI:1914047,CNTNAP2,HGNC:13830,ENSMUSG00000039419,ENSG00000174469,933,1867,-1.402008,-2.015159,-3.488656,-2.46354,-3.01627,-4.572443,-3.3507510000000003,-2.301941,2.0688226853596623,,0.301247145418874
Coro1a,MGI:1345961,CORO1A,HGNC:2252,ENSMUSG00000030707,ENSG00000102879,355,1528,-1.081019,-0.02430568,0.2187301,1.638453,1.601356,2.602508,1.947439,-0.29553152666666666,0.21125091177952882,,0.0122112707233517
Coro1c,MGI:1345964,CORO1C,HGNC:2254,ENSMUSG00000004530,ENSG00000110880,2360,533,1.986817,2.719087,3.107316,2.16735,3.453192,1.891591,2.5040443333333333,2.6044066666666668,1.072042672598087,,0.87160161094514
Coro2b,MGI:2444283,CORO2B,HGNC:2256,ENSMUSG00000041729,ENSG00000103647,2447,1030,2.655409,3.023824,2.353389,2.580496,2.161231,2.948728,2.563485,2.677540666666667,1.0822664031781764,,0.722158038851871
Cox5a,MGI:88474,COX5A,HGNC:2267,ENSMUSG00000000088,ENSG00000178741,802,395,-2.367873,-3.663042,-3.676913,-3.489334,-3.266621,-3.749993,-3.5019826666666667,-3.2359426666666664,1.2025025888871492,,0.590903177407131
Cox5b,MGI:88475,COX5B,HGNC:2269,ENSMUSG00000061518,ENSG00000135940,682,243,-4.205608,-4.836797,-4.590926,-1.981669,-1.541793,-2.46356,-1.995674,-4.544443666666666,0.17090071445131555,+,0.00140153610146876
Cox7a2l,MGI:106015,COX7A2L,HGNC:2289,ENSMUSG00000024248,ENSG00000115944,715,237,-2.531544,-3.666169,-3.533011,-1.81738,-2.693829,-2.14692,-2.2193763333333334,-3.243574666666667,0.49168343858385644,,0.0804262970340424
Crmp1,MGI:107793,CRMP1,HGNC:2365,ENSMUSG00000029121,ENSG00000072832,2162,1396,-3.791039,-2.937551,-3.605432,-0.805575,-0.8899571,-0.1555707,-0.6170342666666666,-3.4446740000000005,0.14086257506626507,+,0.00124565132345134
Crtac1,MGI:1920082,CRTAC1,HGNC:14882,ENSMUSG00000042401,ENSG00000095713,2044,1570,-0.524717,-0.5183966,-0.2784332,0.06094837,-0.3358197,0.5583601,0.09449625666666668,-0.44051559999999995,0.6901530047111522,,0.119666793291828
Cs,MGI:88529,CS,HGNC:2422,ENSMUSG00000005683,ENSG00000062485,819,152,2.141632,0.8319632,2.077296,1.915302,1.494309,1.183597,1.5310693333333332,1.6836304000000002,1.1115409248508243,,0.764657874824187
Csnk1d,MGI:1355272,CSNK1D,HGNC:2452,ENSMUSG00000025162,ENSG00000141551,390,2277,-0.4141458,-0.4920239,0.1373907,0.3475859,-0.9404246,0.1772299,-0.13853626666666669,-0.25625966666666666,0.9216408704052224,,0.806505411984868
Csnk1e,MGI:1351660,CSNK1E,HGNC:2453,ENSMUSG00000022433,ENSG00000213923,887,1495,-0.405276,-0.2261194,-0.4932372,-0.08645615,-1.934074,0.6501113,-0.45680628333333334,-0.37487753333333335,1.0584321210759389,,0.920657388041225
Csnk2a1,MGI:88543,CSNK2A1,HGNC:2457,ENSMUSG00000074698,ENSG00000101266,550,1828,2.798136,2.46968,2.246758,-1.746288,1.477629,0.688347,0.13989600000000002,2.504858,5.151390830715184,,0.073954266030339
Ctbp1,MGI:1201685,CTBP1,HGNC:2494,ENSMUSG00000037373,ENSG00000159692,442,623,-3.653651,-2.504288,-3.62659,-1.831419,-2.057572,-4.056505,-2.6484986666666663,-3.2615096666666665,0.6538306890394886,,0.487285021035825
Ctnna1,MGI:88274,CTNNA1,HGNC:2509,ENSMUSG00000037815,ENSG00000044115,1325,148,-0.6132978,-1.314053,1.191432,-1.627116,-0.9189997,-0.5674939,-1.0378698666666668,-0.24530626666666663,1.732149676578818,,0.382578974240011
Ctnna2,MGI:88275,CTNNA2,HGNC:2510,ENSMUSG00000063063,ENSG00000066032,2245,1267,5.060629,4.962937,5.604525,2.895789,3.903185,3.50894,3.4359713333333333,5.209363666666666,3.4185684988968066,,0.00748392242425334
Ctnnb1,MGI:88276,CTNNB1,HGNC:2514,ENSMUSG00000006932,ENSG00000168036,565,561,4.785261,4.620223,4.624851,2.861093,3.915564,2.781628,3.186095,4.676778333333334,2.8102204988471,,0.0156718633505682
Ctnnd1,MGI:105100,CTNND1,HGNC:2515,ENSMUSG00000034101,ENSG00000198561,1285,1791,1.564099,1.446792,1.390151,-0.4076698,-0.5114043,0.6191826,-0.09996383333333332,1.467014,2.962834072449054,,0.0126482383231999
Ctnnd2,MGI:1195966,CTNND2,HGNC:2516,ENSMUSG00000022240,ENSG00000169862,1457,878,2.389239,2.39464,2.306096,1.355717,1.318319,1.870282,1.5147726666666668,2.363325,1.8006931199242258,,0.00927789568433132
Cyfip1,MGI:1338801,CYFIP1,HGNC:13759,ENSMUSG00000030447,ENSG00000068793,2196,1560,-1.238967,-1.173789,-0.507533,-1.509004,-1.165703,-0.7291803,-1.1346291,-0.9734296666666666,1.1182164187768842,,0.645780136554845
Cyfip2,MGI:1924134,CYFIP2,HGNC:13760,ENSMUSG00000020340,ENSG00000055163,2232,1806,2.658632,2.985739,3.43731,2.434896,2.694204,3.041489,2.7235296666666664,3.027227,1.2343036320266885,,0.348255142608979
Cyld,MGI:1921506,CYLD,HGNC:2584,ENSMUSG00000036712,ENSG00000083799,1130,1323,-1.797751,-1.034792,-2.066546,-1.365063,-1.28868,-1.09172,-1.2484876666666667,-1.6330296666666666,0.7660221424191763,,0.29519928593015
Cyth3,MGI:1335107,CYTH3,HGNC:9504,ENSMUSG00000018001,ENSG00000008256,473,1306,-2.793196,-3.216795,-3.11781,-1.315357,-2.21677,-0.7169216,-1.4163495333333334,-3.042600333333333,0.3239289242338837,,0.0231725424309808
D10Wsu52e,MGI:106379,C22orf28,HGNC:26935,ENSMUSG00000001783,ENSG00000100220,2141,267,-0.2400763,-0.5820442,-1.157264,-0.5452337,-0.6387283,-0.7198375,-0.6345998333333335,-0.6597948333333333,0.9826877658537911,,0.930734286718394
D3Bwg0562e,MGI:106530,NOT_FOUND,NOT_FOUND,ENSMUSG00000044667,ENSG00000117600,1818,1870,1.796656,1.459321,1.300635,-2.532848,-1.840059,-1.690055,-2.0209873333333332,1.5188706666666667,11.630635314847803,+,0.000287379181601521
D430041D05Rik,MGI:2181743,C11orf41,HGNC:24836,ENSMUSG00000068373,ENSG00000110427,2352,2243,2.40054,2.162378,2.285214,0.2016464,0.2325534,0.3821425,0.2721141,2.2827106666666666,4.029488083359989,+,2.22476500202188e-05
Daam1,MGI:1914596,DAAM1,HGNC:18142,ENSMUSG00000034574,ENSG00000100592,1819,2121,0.548043,-0.009950238,0.4146427,-0.3046256,-1.201302,-0.1292567,-0.5450614333333333,0.3175784873333333,1.818362605520129,,0.0813396746904764
Daam2,MGI:1923691,DAAM2,HGNC:18143,ENSMUSG00000040260,ENSG00000146122,2123,1635,-0.1167857,-2.758107,-0.138519,-1.572261,-3.647538,-2.452177,-2.5573253333333335,-1.0044705666666667,2.933971316221581,,0.217947703992399
Dbn1,MGI:1931838,DBN1,HGNC:2695,ENSMUSG00000034675,ENSG00000113758,2318,858,4.026104,3.928619,4.858724,-0.9701977,0.7255869,-0.339974,-0.1948616,4.271149,22.100553550430835,+,0.00149295901587259
Dclk1,MGI:1330861,DCLK1,HGNC:2700,ENSMUSG00000027797,ENSG00000133083,1370,2031,2.183357,2.26199,2.096886,1.084421,2.228221,1.903934,1.7388586666666666,2.180744333333333,1.3583786290109354,,0.26790465903796
Dclk2,MGI:1918012,DCLK2,HGNC:19002,ENSMUSG00000028078,ENSG00000170390,1623,1124,-1.104838,-1.227081,-0.799254,-1.441188,-0.8855014,-2.294054,-1.5402478000000002,-1.0437243333333333,1.41080976505824,,0.311440602628949
Dctn1,MGI:107745,DCTN1,HGNC:2711,ENSMUSG00000031865,ENSG00000204843,2423,2351,-0.5581009,-0.6595669,-1.196404,0.9741938,1.20611,1.239316,1.1398732666666667,-0.8046906000000001,0.25979330066194045,+,0.000826173222365778
Dctn2,MGI:107733,DCTN2,HGNC:2712,ENSMUSG00000025410,ENSG00000175203,1476,242,1.331059,1.381019,1.061981,2.511494,1.753012,2.462306,2.2422706666666667,1.2580196666666668,0.5054880879865021,,0.0204064801520518
Dctn3,MGI:1859251,DCTN3,HGNC:2713,ENSMUSG00000028447,ENSG00000137100,464,1597,-1.359662,-3.681905,-3.444888,-1.142,-1.074175,-1.694828,-1.3036676666666667,-2.828818333333333,0.347443268114688,,0.11643574815643
Dctn4,MGI:1914915,DCTN4,HGNC:15518,ENSMUSG00000024603,ENSG00000132912,2143,1444,-3.282963,-2.597884,-2.353514,-5.028605,-1.44361,-1.658541,-2.710252,-2.744787,0.9763463996330171,,0.978305393171424
Ddost,MGI:1194508,DDOST,HGNC:2728,ENSMUSG00000028757,ENSG00000117242,1627,293,-1.580954,-2.034718,-0.5199973,-3.462193,-1.623409,-2.208406,-2.431336,-1.3785564333333333,2.0745228768726616,,0.209130565956072
