MicroRNA name,Genome coordinates,Conserved region,"Start putative MRE
3'-UTR position
(NM_001025366)","End putative MRE
3'-UTR position
(NM_001025366)","MRE predicted by
microRNA.org
(468)","MRE predicted by
TargetScan
(† = MRE conserved)
(176)","MRE predicted by
DIANA microT v3.0
(38)","MRE predicted by
miRDB
(34)","MRE predicted by
Microcosm
(8)",Count,Experimental evidence
hsa-miR-466,[hg19:6:43753861-43753883:+],Conserved region 2,1562,1584,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-466,[hg19:6:43753937-43753957:+],Conserved region 2,1638,1658,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-548s,[hg19:6:43753845-43753867:+],Conserved region 2,1546,1568,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-548t,[hg19:6:43753528-43753548:+],Conserved region 2,1229,1249,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-548u,[hg19:6:43752709-43752731:+],Conserved region 1,410,432,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-548x,[hg19:6:43753576-43753594:+],Conserved region 2,1277,1295,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-548x,[hg19:6:43753929-43753949:+],Conserved region 2,1630,1650,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-548x,[hg19:6:43754096-43754116:+],Conserved region 2,1797,1817,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-711,[hg19:6:43752468-43752489:+],Conserved region 1,169,190,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-miR-762,[hg19:6:43752957-43752981:+],Non-conserved region,658,682,yes,n/d,n/d,n/d,n/d,1 / 1,
hsa-let-7a*,[hg19:6:43753668-43753687:+],Conserved region 2,1369,1388,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7a*,[hg19:6:43753865-43753885:+],Conserved region 2,1566,1586,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7a*,[hg19:6:43753889-43753909:+],Conserved region 2,1590,1610,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7a*,[hg19:6:43754181-43754201:+],Conserved region 2,1882,1902,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7b*,[hg19:6:43753667-43753687:+],Conserved region 2,1368,1388,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7b*,[hg19:6:43753864-43753885:+],Conserved region 2,1565,1586,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7b*,[hg19:6:43753888-43753909:+],Conserved region 2,1589,1610,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7b*,[hg19:6:43754180-43754201:+],Conserved region 2,1881,1902,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7f-1*,[hg19:6:43753666-43753687:+],Conserved region 2,1367,1388,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7f-1*,[hg19:6:43753864-43753885:+],Conserved region 2,1565,1586,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7f-1*,[hg19:6:43753888-43753909:+],Conserved region 2,1589,1610,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7f-1*,[hg19:6:43754183-43754201:+],Conserved region 2,1884,1902,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7f-2*,[hg19:6:43753864-43753885:+],Conserved region 2,1565,1586,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7f-2*,[hg19:6:43753888-43753909:+],Conserved region 2,1589,1610,yes,n/d,n/d,n/d,,1 / 2,
hsa-let-7i*,[hg19:6:43752449-43752474:+],Conserved region 1,150,175,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-106a*,[hg19:6:43753917-43753938:+],Conserved region 2,1618,1639,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-106b*,[hg19:6:43752728-43752749:+],Conserved region 1,429,450,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-10a*,[hg19:6:43754189-43754210:+],Conserved region 2,1890,1911,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-124*,[hg19:6:43753731-43753751:+],Conserved region 2,1432,1452,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-126*,[hg19:6:43754047-43754067:+],Conserved region 2,1748,1768,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-130a*,[hg19:6:43753895-43753916:+],Conserved region 2,1596,1617,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-130b*,[hg19:6:43753564-43753584:+],Conserved region 2,1265,1285,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-135a*,[hg19:6:43752681-43752702:+],Conserved region 1,382,403,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-136*,[hg19:6:43752359-43752381:+],Conserved region 1,60,82,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-138-2*,[hg19:6:43753909-43753930:+],Conserved region 2,1610,1631,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-138-2*,[hg19:6:43753958-43753979:+],Conserved region 2,1659,1680,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-138-2*,[hg19:6:43754145-43754166:+],Conserved region 2,1846,1867,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-141*,[hg19:6:43752581-43752603:+],Conserved region 1,282,304,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-141*,[hg19:6:43753137-43753157:+],Non-conserved region,838,858,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-148a*,[hg19:6:43754189-43754210:+],Conserved region 2,1890,1911,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-149*,[hg19:6:43753769-43753787:+],Conserved region 2,1470,1488,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-150*,[hg19:6:43753657-43753676:+],Conserved region 2,1358,1377,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-1537,[hg19:6:43753659-43753680:+],Conserved region 2,1360,1381,yes,n/d,n/d,,n/d,1 / 2,
hsa-miR-15b*,[hg19:6:43753897-43753919:+],Conserved region 2,1598,1620,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-16-1*,[hg19:6:43754193-43754217:+],Conserved region 2,1894,1918,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-16-2*,[hg19:6:43753595-43753618:+],Conserved region 2,1296,1319,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-16-2*,[hg19:6:43754004-43754025:+],Conserved region 2,1705,1726,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-183*,[hg19:6:43753554-43753575:+],Conserved region 2,1255,1276,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-183*,[hg19:6:43754195-43754216:+],Conserved region 2,1896,1917,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-186*,[hg19:6:43752468-43752486:+],Conserved region 1,169,187,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-186*,[hg19:6:43753077-43753101:+],Non-conserved region,778,802,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-1911,[hg19:6:43753511-43753532:+],Conserved region 2,1212,1233,yes,n/d,n/d,,n/d,1 / 2,
hsa-miR-192*,[hg19:6:43753845-43753866:+],Conserved region 2,1546,1567,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-195*,[hg19:6:43753596-43753618:+],Conserved region 2,1297,1319,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-195*,[hg19:6:43754004-43754025:+],Conserved region 2,1705,1726,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-1976,[hg19:6:43752300-43752312:+],Conserved region 1,1,13,yes,n/d,n/d,,n/d,1 / 2,
hsa-miR-19a*,[hg19:6:43753946-43753967:+],Conserved region 2,1647,1668,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-19b-1*,[hg19:6:43753947-43753967:+],Conserved region 2,1648,1668,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-19b-2*,[hg19:6:43753948-43753967:+],Conserved region 2,1649,1668,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-2052,[hg19:6:43753548-43753565:+],Conserved region 2,1249,1266,yes,n/d,n/d,,n/d,1 / 2,
hsa-miR-2052,[hg19:6:43753942-43753962:+],Conserved region 2,1643,1663,yes,n/d,n/d,,n/d,1 / 2,
hsa-miR-21*,[hg19:6:43752743-43752764:+],Conserved region 1,444,465,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-21*,[hg19:6:43754028-43754048:+],Conserved region 2,1729,1749,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-218-1*,[hg19:6:43752323-43752343:+],Conserved region 1,24,44,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-222*,[hg19:6:43754028-43754053:+],Conserved region 2,1729,1754,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-223*,[hg19:6:43754147-43754168:+],Conserved region 2,1848,1869,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-24-1*,[hg19:6:43753568-43753589:+],Conserved region 2,1269,1290,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-24-2*,[hg19:6:43753568-43753589:+],Conserved region 2,1269,1290,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-26b*,[hg19:6:43752407-43752428:+],Conserved region 1,108,129,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-26b*,[hg19:6:43753730-43753751:+],Conserved region 2,1431,1452,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-29a*,[hg19:6:43754144-43754168:+],Conserved region 2,1845,1869,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-29b-1*,[hg19:6:43753545-43753567:+],Conserved region 2,1246,1268,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-29b-2*,[hg19:6:43752368-43752391:+],Conserved region 1,69,92,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-29b-2*,[hg19:6:43753347-43753367:+],Non-conserved region,1048,1068,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-302a*,[hg19:6:43753883-43753905:+],Conserved region 2,1584,1606,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-302b*,[hg19:6:43753561-43753582:+],Conserved region 2,1262,1283,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-302b*,[hg19:6:43754185-43754205:+],Conserved region 2,1886,1906,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-302d*,[hg19:6:43753561-43753582:+],Conserved region 2,1262,1283,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-302d*,[hg19:6:43754183-43754205:+],Conserved region 2,1884,1906,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-32*,[hg19:6:43752720-43752740:+],Conserved region 1,421,441,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-32*,[hg19:6:43753978-43753999:+],Conserved region 2,1679,1700,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-33b*,[hg19:6:43752459-43752481:+],Conserved region 1,160,182,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-363*,[hg19:6:43752624-43752645:+],Conserved region 1,325,346,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-374a*,[hg19:6:43753902-43753925:+],Conserved region 2,1603,1626,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-374b*,[hg19:6:43752563-43752584:+],Conserved region 1,264,285,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-374b*,[hg19:6:43752729-43752751:+],Conserved region 1,430,452,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-505*,[hg19:6:43753783-43753802:+],Conserved region 2,1484,1503,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-526b*,[hg19:6:43752463-43752483:+],Conserved region 1,164,184,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-526b*,[hg19:6:43754175-43754196:+],Conserved region 2,1876,1897,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-551b*,[hg19:6:43753995-43754017:+],Conserved region 2,1696,1718,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-593*,[hg19:6:43754024-43754048:+],Conserved region 2,1725,1749,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-624*,[hg19:6:43753510-43753531:+],Conserved region 2,1211,1232,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-7-1*,[hg19:6:43753859-43753879:+],Conserved region 2,1560,1580,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-7-1*,[hg19:6:43754007-43754028:+],Conserved region 2,1708,1729,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-7-2*,[hg19:6:43753859-43753879:+],Conserved region 2,1560,1580,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-7-2*,[hg19:6:43753922-43753946:+],Conserved region 2,1623,1647,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-7-2*,[hg19:6:43754007-43754028:+],Conserved region 2,1708,1729,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-744*,[hg19:6:43753848-43753869:+],Conserved region 2,1549,1570,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-877*,[hg19:6:43752442-43752462:+],Conserved region 1,143,163,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-877*,[hg19:6:43752821-43752841:+],Non-conserved region,522,542,yes,n/d,n/d,n/d,,1 / 2,
hsa-miR-1180,[hg19:6:43752579-43752600:+],Conserved region 1,280,301,yes,,n/d,,n/d,1 / 3,
hsa-miR-1205,[hg19:6:43752813-43752833:+],Conserved region 1 / Non-conserved region,514,534,yes,,n/d,,n/d,1 / 3,
hsa-miR-1207-5p,[hg19:6:43752904-43752910:+]*,Non-conserved region,605,611,,yes,n/d,,n/d,1 / 3,
hsa-miR-1208,[hg19:6:43753550-43753569:+],Conserved region 2,1251,1270,yes,,n/d,,n/d,1 / 3,
hsa-miR-1231,[hg19:6:43753790-43753810:+],Conserved region 2,1491,1511,yes,,n/d,,n/d,1 / 3,
hsa-miR-1236,[hg19:6:43753233-43753239:+]*,Non-conserved region,934,940,,yes,n/d,,n/d,1 / 3,
hsa-miR-1236,[hg19:6:43753238-43753244:+]*,Non-conserved region,939,945,,yes,n/d,,n/d,1 / 3,
hsa-miR-1246,[hg19:6:43752422-43752440:+],Conserved region 1,123,141,yes,,n/d,,n/d,1 / 3,
hsa-miR-1249,[hg19:6:43752491-43752497:+]*,Conserved region 1,192,198,,yes,n/d,,n/d,1 / 3,
hsa-miR-1255a,[hg19:6:43753296-43753302:+]*,Non-conserved region,997,1003,,yes,n/d,,n/d,1 / 3,
hsa-miR-1255b,[hg19:6:43753296-43753302:+]*,Non-conserved region,997,1003,,yes,n/d,,n/d,1 / 3,
hsa-miR-1259,[hg19:6:43752690-43752710:+],Conserved region 1,391,411,yes,,n/d,,n/d,1 / 3,
hsa-miR-1261,[hg19:6:43754043-43754060:+],Conserved region 2,1744,1761,yes,,n/d,,n/d,1 / 3,
hsa-miR-1265,[hg19:6:43753829-43753850:+],Conserved region 2,1530,1551,yes,,n/d,,n/d,1 / 3,
hsa-miR-1270,[hg19:6:43752679-43752701:+],Conserved region 1,380,402,yes,,n/d,,n/d,1 / 3,
hsa-miR-1274b,[hg19:6:43752829-43752835:+]*,Non-conserved region,530,536,,yes,n/d,,n/d,1 / 3,
hsa-miR-1274b,[hg19:6:43753035-43753041:+]*,Non-conserved region,736,742,,yes,n/d,,n/d,1 / 3,
hsa-miR-1277,[hg19:6:43753826-43753847:+],Conserved region 2,1527,1548,yes,,n/d,,n/d,1 / 3,
hsa-miR-1277,[hg19:6:43753970-43753991:+],Conserved region 2,1671,1692,yes,,n/d,,n/d,1 / 3,
hsa-miR-1278,[hg19:6:43752728-43752749:+],Conserved region 1,429,450,yes,,n/d,,n/d,1 / 3,
hsa-miR-1278,[hg19:6:43753583-43753604:+],Conserved region 2,1284,1305,yes,,n/d,,n/d,1 / 3,
hsa-miR-1278,[hg19:6:43753712-43753735:+],Conserved region 2,1413,1436,yes,,n/d,,n/d,1 / 3,
hsa-miR-1279,[hg19:6:43752942-43752948:+]*,Non-conserved region,643,649,,yes,n/d,,n/d,1 / 3,
hsa-miR-1279,[hg19:6:43753822-43753838:+],Conserved region 2,1523,1539,yes,,n/d,,n/d,1 / 3,
hsa-miR-1283,[hg19:6:43753665-43753686:+],Conserved region 2,1366,1387,yes,,n/d,,n/d,1 / 3,
hsa-miR-1283,[hg19:6:43754182-43754200:+],Conserved region 2,1883,1901,yes,,n/d,,n/d,1 / 3,
hsa-miR-1284,[hg19:6:43753667-43753688:+],Conserved region 2,1368,1389,yes,,n/d,,n/d,1 / 3,
hsa-miR-1284,[hg19:6:43753865-43753886:+],Conserved region 2,1566,1587,yes,,n/d,,n/d,1 / 3,
hsa-miR-1284,[hg19:6:43753888-43753910:+],Conserved region 2,1589,1611,yes,,n/d,,n/d,1 / 3,
hsa-miR-1285,[hg19:6:43752907-43752913:+]*,Non-conserved region,608,614,,yes,n/d,,n/d,1 / 3,
hsa-miR-1292,[hg19:6:43752811-43752817:+]*,Conserved region 1,512,518,,yes,n/d,,n/d,1 / 3,
hsa-miR-1294,[hg19:6:43753348-43753354:+]*,Non-conserved region,1049,1055,,yes,n/d,,n/d,1 / 3,
hsa-miR-1303,[hg19:6:43752681-43752702:+],Conserved region 1,382,403,yes,,n/d,,n/d,1 / 3,
hsa-miR-1308,[hg19:6:43753265-43753271:+]*,Non-conserved region,966,972,,yes,n/d,,n/d,1 / 3,
hsa-miR-1321,[hg19:6:43752309-43752326:+],Conserved region 1,10,27,yes,,n/d,,n/d,1 / 3,
hsa-miR-1323,[hg19:6:43752952-43752958:+]*,Non-conserved region,653,659,,yes,n/d,,n/d,1 / 3,
hsa-miR-513a-3p,[hg19:6:43753539-43753561:+],Conserved region 2,1240,1262,yes,,n/d,,n/d,1 / 3,
hsa-miR-548e,[hg19:6:43752951-43752957:+]*,Non-conserved region,652,658,,yes,n/d,,n/d,1 / 3,
hsa-miR-548f,[hg19:6:43752951-43752957:+]*,Non-conserved region,652,658,,yes,n/d,,n/d,1 / 3,
hsa-miR-548g,[hg19:6:43753550-43753570:+],Conserved region 2,1251,1271,yes,,n/d,,n/d,1 / 3,
hsa-miR-548k,[hg19:6:43753513-43753533:+],Conserved region 2,1214,1234,yes,,n/d,,n/d,1 / 3,
hsa-miR-548l,[hg19:6:43752710-43752731:+],Conserved region 1,411,432,yes,,n/d,,n/d,1 / 3,
hsa-miR-548n,[hg19:6:43752711-43752732:+],Conserved region 1,412,433,yes,,n/d,,n/d,1 / 3,
hsa-miR-548n,[hg19:6:43753997-43754018:+],Conserved region 2,1698,1719,yes,,n/d,,n/d,1 / 3,
hsa-miR-548n,[hg19:6:43754125-43754146:+],Conserved region 2,1826,1847,yes,,n/d,,n/d,1 / 3,
hsa-miR-548o,[hg19:6:43752952-43752958:+]*,Non-conserved region,653,659,,yes,n/d,,n/d,1 / 3,
hsa-miR-768-3p,[hg19:6:43753486-43753492:+]*,Non-conserved region / Conserved region 2,1187,1193,n/d,yes,,n/d,,1 / 3,
hsa-miR-199b-3p,[hg19:6:43754033-43754052:+],Conserved region 2,1734,1753,yes,,,,n/d,1 / 4,
hsa-miR-101,[hg19:6:43754032-43754053:+],Conserved region 2,1733,1754,yes,,,,,1 / 5,
hsa-miR-105,[hg19:6:43754174-43754196:+],Conserved region 2,1875,1897,yes,,,,,1 / 5,
hsa-miR-106a,[hg19:6:43754174-43754196:+],Conserved region 2,1875,1897,yes,,,,,1 / 5,
hsa-miR-106b,[hg19:6:43754176-43754196:+],Conserved region 2,1877,1897,yes,,,,,1 / 5,
hsa-miR-125a-5p,[hg19:6:43752303-43752331:+],Conserved region 1,4,32,yes,,,,,1 / 5,
hsa-miR-125b,[hg19:6:43752310-43752331:+],Conserved region 1,11,32,yes,,,,,1 / 5,
hsa-miR-127-5p,[hg19:6:43753074-43753080:+]*,Non-conserved region,775,781,,yes,,,,1 / 5,
hsa-miR-129-5p,[hg19:6:43753942-43753961:+],Conserved region 2,1643,1662,yes,,,,,1 / 5,
hsa-miR-136,[hg19:6:43753959-43753981:+],Conserved region 2,1660,1682,yes,,,,,1 / 5,
hsa-miR-138,[hg19:6:43753752-43753776:+],Conserved region 2,1453,1477,yes,,,,,1 / 5,
hsa-miR-139-5p,[hg19:6:43752627-43752633:+]*,Conserved region 1,328,334,,yes,,,,1 / 5,
hsa-miR-140-5p,[hg19:6:43753189-43753217:+]$,Non-conserved region,890,918,,,yes,,,1 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-141,[hg19:6:43752727-43752749:+],Conserved region 1,428,450,yes,,,,,1 / 5,
hsa-miR-141,[hg19:6:43753496-43753517:+],Conserved region 2,1197,1218,yes,,,,,1 / 5,
hsa-miR-142-5p,[hg19:6:43752687-43752707:+],Conserved region 1,388,408,yes,,,,,1 / 5,
hsa-miR-144,[hg19:6:43753834-43753852:+],Conserved region 2,1535,1553,yes,,,,,1 / 5,
hsa-miR-144,[hg19:6:43754034-43754053:+],Conserved region 2,1735,1754,yes,,,,,1 / 5,
hsa-miR-146b-3p,[hg19:6:43752927-43752933:+]*,Non-conserved region,628,634,,yes,,,,1 / 5,
hsa-miR-148a,[hg19:6:43754030-43754052:+],Conserved region 2,1731,1753,yes,,,,,1 / 5,
hsa-miR-148b,[hg19:6:43754030-43754052:+],Conserved region 2,1731,1753,yes,,,,,1 / 5,
hsa-miR-153,[hg19:6:43754086-43754110:+],Conserved region 2,1787,1811,yes,,,,,1 / 5,
hsa-miR-155,[hg19:6:43754173-43754195:+],Conserved region 2,1874,1896,yes,,,,,1 / 5,
hsa-miR-17,[hg19:6:43754174-43754196:+],Conserved region 2,1875,1897,yes,,,,,1 / 5,
hsa-miR-186,[hg19:6:43753587-43753608:+],Conserved region 2,1288,1309,yes,,,,,1 / 5,
hsa-miR-188-3p,[hg19:6:43754054-43754074:+],Conserved region 2,1755,1775,yes,,,,,1 / 5,
hsa-miR-190,[hg19:6:43754118-43754139:+],Conserved region 2,1819,1840,yes,,,,,1 / 5,
hsa-miR-190b,[hg19:6:43754119-43754139:+],Conserved region 2,1820,1840,yes,,,,,1 / 5,
hsa-miR-191,[hg19:6:43754105-43754130:+],Conserved region 2,1806,1831,yes,,,,,1 / 5,
hsa-miR-199a-3p,[hg19:6:43754033-43754052:+],Conserved region 2,1734,1753,yes,,,,,1 / 5,
hsa-miR-200a,[hg19:6:43753496-43753517:+],Conserved region 2,1197,1218,yes,,,,,1 / 5,
hsa-miR-202,[hg19:6:43752680-43752699:+],Conserved region 1,381,400,yes,,,,,1 / 5,
hsa-miR-20a,[hg19:6:43754174-43754196:+],Conserved region 2,1875,1897,yes,,,,,1 / 5,
hsa-miR-20b,[hg19:6:43754174-43754196:+],Conserved region 2,1875,1897,yes,,,,,1 / 5,
hsa-miR-216a,[hg19:6:43753619-43753640:+],Conserved region 2,1320,1341,yes,,,,,1 / 5,
hsa-miR-219-1-3p,[hg19:6:43753608-43753629:+],Conserved region 2,1309,1330,yes,,,,,1 / 5,
hsa-miR-219-2-3p,[hg19:6:43753794-43753815:+],Conserved region 2,1495,1516,yes,,,,,1 / 5,
hsa-miR-23a,[hg19:6:43753896-43753916:+],Conserved region 2,1597,1617,yes,,,,,1 / 5,
hsa-miR-23b,[hg19:6:43753896-43753916:+],Conserved region 2,1597,1617,yes,,,,,1 / 5,
hsa-miR-24,[hg19:6:43752986-43752992:+]*,Non-conserved region,687,693,,yes,,,,1 / 5,
hsa-miR-26a,[hg19:6:43753724-43753747:+],Conserved region 2,1425,1448,yes,,,,,1 / 5,
hsa-miR-297,[hg19:6:43753828-43753850:+],Conserved region 2,1529,1551,yes,,,,,1 / 5,
hsa-miR-297,[hg19:6:43753975-43753994:+],Conserved region 2,1676,1695,yes,,,,,1 / 5,
hsa-miR-300,[hg19:6:43754178-43754200:+],Conserved region 2,1879,1901,yes,,,,,1 / 5,
hsa-miR-302d,[hg19:6:43752475-43752481:+]*,Conserved region 1,176,182,,yes†,,,,1 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-30a,[hg19:6:43753883-43753904:+],Conserved region 2,1584,1605,yes,,,,,1 / 5,
hsa-miR-30b,[hg19:6:43753883-43753904:+],Conserved region 2,1584,1605,yes,,,,,1 / 5,
hsa-miR-30c,[hg19:6:43753882-43753904:+],Conserved region 2,1583,1605,yes,,,,,1 / 5,
hsa-miR-30d,[hg19:6:43753883-43753904:+],Conserved region 2,1584,1605,yes,,,,,1 / 5,
hsa-miR-30e,[hg19:6:43753883-43753904:+],Conserved region 2,1584,1605,yes,,,,,1 / 5,
hsa-miR-31,[hg19:6:43752558-43752579:+],Conserved region 1,259,280,yes,,,,,1 / 5,
hsa-miR-323-3p,[hg19:6:43752733-43752754:+],Conserved region 1,434,455,yes,,,,,1 / 5,
hsa-miR-330-3p,[hg19:6:43753092-43753098:+]*,Non-conserved region,793,799,,yes,,,,1 / 5,"Ye et al., PLoS ONE, 2008"
hsa-miR-331-3p,[hg19:6:43753135-43753141:+]*,Non-conserved region,836,842,,yes,,,,1 / 5,
hsa-miR-339-5p,[hg19:6:43753035-43753041:+]*,Non-conserved region,736,742,,yes,,,,1 / 5,
hsa-miR-340,[hg19:6:43752641-43752662:+],Conserved region 1,342,363,yes,,,,,1 / 5,
hsa-miR-340,[hg19:6:43752687-43752708:+],Conserved region 1,388,409,yes,,,,,1 / 5,
hsa-miR-340,[hg19:6:43753934-43753953:+],Conserved region 2,1635,1654,yes,,,,,1 / 5,
hsa-miR-34a,[hg19:6:43753142-43753148:+]*,Non-conserved region,843,849,,yes,,,,1 / 5,
hsa-miR-34b,[hg19:6:43753897-43753918:+],Conserved region 2,1598,1619,yes,,,,,1 / 5,
hsa-miR-34c-5p,[hg19:6:43753142-43753148:+]*,Non-conserved region,843,849,,yes,,,,1 / 5,
hsa-miR-361-5p,[hg19:6:43754199-43754220:+],Conserved region 2,1900,1921,yes,,,,,1 / 5,
hsa-miR-369-3p,[hg19:6:43754183-43754203:+],Conserved region 2,1884,1904,yes,,,,,1 / 5,
hsa-miR-371-3p,[hg19:6:43753509-43753531:+],Conserved region 2,1210,1232,yes,,,,,1 / 5,
hsa-miR-374a,[hg19:6:43753867-43753889:+],Conserved region 2,1568,1590,yes,,,,,1 / 5,
hsa-miR-376c,[hg19:6:43752684-43752704:+],Conserved region 1,385,405,yes,,,,,1 / 5,
hsa-miR-376c,[hg19:6:43753936-43753956:+],Conserved region 2,1637,1657,yes,,,,,1 / 5,
hsa-miR-377,[hg19:6:43753401-43753407:+]*,Non-conserved region,1102,1108,,yes†,,,,1 / 5,
hsa-miR-377,[hg19:6:43753861-43753882:+],Conserved region 2,1562,1583,yes,,,,,1 / 5,
hsa-miR-381,[hg19:6:43754182-43754200:+],Conserved region 2,1883,1901,yes,,,,,1 / 5,
hsa-miR-382,[hg19:6:43753849-43753870:+],Conserved region 2,1550,1571,yes,,,,,1 / 5,
hsa-miR-383,[hg19:6:43753902-43753924:+],Conserved region 2,1603,1625,yes,,,,,1 / 5,
hsa-miR-409-3p,[hg19:6:43753793-43753814:+],Conserved region 2,1494,1515,yes,,,,,1 / 5,
hsa-miR-410,[hg19:6:43753517-43753523:+]*,Conserved region 2,1218,1224,,yes†,,,,1 / 5,
hsa-miR-410,[hg19:6:43753865-43753886:+],Conserved region 2,1566,1587,yes,,,,,1 / 5,
hsa-miR-410,[hg19:6:43753931-43753954:+],Conserved region 2,1632,1655,yes,,,,,1 / 5,
hsa-miR-424,[hg19:6:43754027-43754048:+],Conserved region 2,1728,1749,yes,,,,,1 / 5,
hsa-miR-429,[hg19:6:43753734-43753756:+],Conserved region 2,1435,1457,yes,,,,,1 / 5,
hsa-miR-448,[hg19:6:43753936-43753957:+],Conserved region 2,1637,1658,yes,,,,,1 / 5,
hsa-miR-449a,[hg19:6:43753142-43753148:+]*,Non-conserved region,843,849,,yes,,,,1 / 5,
